index,candidate_id,first_name,surname,education_level,area_of_knowledge,highest_qualification,code_HEL,Arts_Design_Media,Business_Finance_Management,Culinary_Hospitality,Education_Training,Health_Medical_Sciences,Humanities_Social_Sciences,Law_Political_Science,Marketing_Sales,STEM_Science_Technology_Engineering_Mathematics,Skilled_Trades_Technical_Certifications,Veterinary_Animal_Sciences,latest_job_title,total_years_experience,avg_years_per_job,total_certifications,cert_Business_Finance_Management,cert_Design_Arts_Media,cert_Education_Training,cert_Engineering_Technical_Trades,cert_Finance_Accounting,cert_Health_Medical_Veterinary,cert_Hospitality_Culinary,cert_Humanities_Social_Sciences,cert_Languages_Communication,cert_Law_Security_Emergency_Services,cert_Marketing_Sales,cert_Project_Business_Management,cert_Skilled_Trades_Technical_Certifications,cert_Technology_IT,bio,agile
81,11,Ryan,Thompson,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,0,0,0,0,6,0,0,Senior Mobile Developer,9.073237508555783,3.0244125028519275,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,"Mobile app developer with 7 years creating iOS and Android applications. Expert in Swift, Kotlin, React Native, and Flutter frameworks. Published 15+ apps with millions of downloads across various categories. Strong background in mobile UI/UX design and performance optimization. Experience with app store optimization and monetization strategies. Collaborated with cross-functional teams to deliver high-quality mobile experiences. Seeking senior mobile development roles.",0.0
93,12,Ashley,White,3,"Business, Finance & Management",Bachelor's Degree,3,0,3,2,1,0,0,0,0,0,0,0,HR Manager,8.06570841889117,2.688569472963723,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"Human resources professional with 6+ years in talent acquisition and employee development. PHR certified with expertise in recruiting, onboarding, and performance management. Successfully hired 200+ employees across various roles and departments. Strong background in employment law, compensation analysis, and organizational development. Led diversity and inclusion initiatives that improved workplace culture. Seeking HR leadership positions in growing companies.",0.0
99,13,Kevin,Clark,3,"Business, Finance & Management",Bachelor's Degree,3,0,5,0,0,0,0,0,0,1,0,0,Data Analytics Manager,7.0746064339493495,2.358202144649783,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"Business analyst with 5+ years bridging business requirements and technical solutions. Strong background in process improvement, requirements gathering, and stakeholder management. Led digital transformation projects that increased operational efficiency by 30%. Proficient in SQL, Tableau, and various business intelligence tools. Experience across finance, healthcare, and retail industries. Excellent communication skills and ability to translate complex technical concepts for business audiences.",0.0
105,14,Michelle,Lewis,3,Humanities & Social Sciences,Bachelor's Degree,3,0,0,0,1,0,3,0,3,0,0,0,Marketing Communications Manager,10.067077344284737,3.355692448094912,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"Content strategist and copywriter with 8 years creating compelling digital content. Expert in SEO, social media marketing, and brand storytelling. Increased organic traffic by 200% for multiple clients through strategic content planning. Strong background in email marketing, blog writing, and content management systems. Collaborated with design and development teams to create cohesive digital experiences. Seeking content marketing leadership roles.",0.0
111,15,Daniel,Walker,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,0,0,0,0,6,0,0,Senior QA Engineer,8.035592060232718,2.678530686744239,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,"Quality assurance engineer with 6+ years ensuring software reliability and performance. Expert in automated testing frameworks, test planning, and bug tracking systems. Implemented testing strategies that reduced production defects by 80%. Strong background in API testing, load testing, and security testing. Experience with Agile and DevOps methodologies. Proficient in various testing tools including Selenium, JUnit, and Postman. Seeking senior QA or test automation roles.",0.0
117,16,Nicole,Hall,3,"Business, Finance & Management",Bachelor's Degree,3,0,6,0,0,0,0,0,0,0,0,0,Operations Manager,10.981519507186858,3.6605065023956196,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"Operations manager with 9 years optimizing business processes and team performance. Led operations for companies with 500+ employees and $50M+ annual revenue. Expert in supply chain management, inventory optimization, and cost reduction strategies. Strong analytical skills with experience in data analysis and reporting. Implemented ERP systems that improved operational efficiency by 40%. Seeking senior operations or COO roles.",0.0
123,17,Brian,Young,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,0,0,0,0,5,0,1,Senior Network Engineer,9.065023956194388,3.021674652064796,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"Network administrator with 7+ years managing enterprise IT infrastructure. Expert in network design, security protocols, and system administration. Maintained 99.9% uptime for critical business systems and led network upgrades serving 1,000+ users. Strong background in troubleshooting, disaster recovery, and vendor management. Certified in Cisco, Microsoft, and VMware technologies. Experience with cloud migration and hybrid network environments. Seeking senior IT infrastructure roles.",0.0
132,18,Stephanie,King,3,"Arts, Design & Media",Bachelor's Degree,3,6,0,0,0,0,0,0,0,0,0,0,Art Director,8.062970568104038,2.6876568560346796,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,"Graphic designer with 6 years creating visual identities and marketing materials. Expert in Adobe Creative Suite, typography, and brand development. Designed campaigns for Fortune 500 companies that increased brand recognition by 60%. Strong background in print and digital design including websites, packaging, and advertising. Collaborated with marketing teams to create cohesive brand experiences. Portfolio includes work across technology, fashion, and healthcare industries.",0.0
138,19,Anthony,Wright,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,1,0,0,2,0,0,0,3,0,0,Database Architect,10.067077344284737,3.355692448094912,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"Database administrator with 8+ years managing large-scale database systems. Expert in SQL Server, Oracle, MySQL, and PostgreSQL environments. Optimized database performance for applications serving millions of users daily. Strong background in backup and recovery, security, and capacity planning. Led database migration projects and implemented high-availability solutions. Experience with cloud databases and big data technologies. Seeking senior DBA or data architect roles.",0.0
147,20,Rachel,Lopez,3,"Business, Finance & Management",Bachelor's Degree,3,0,3,1,0,0,0,0,1,0,0,0,Customer Success Manager,7.107460643394935,3.5537303216974676,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,"Customer success manager with 5+ years driving client retention and growth. Managed portfolio of 50+ enterprise accounts worth $10M+ in annual recurring revenue. Expert in relationship building, product adoption, and expansion strategies. Achieved 95% customer retention rate and increased upsell revenue by 150%. Strong communication and problem-solving skills. Experience with CRM systems and customer analytics tools. Seeking senior customer success or account management roles.",0.0
153,21,Matthew,Hill,3,Humanities & Social Sciences,Bachelor's Degree,3,0,0,0,1,0,3,0,0,3,0,0,Documentation Manager,8.073921971252567,2.6913073237508556,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,"Technical writer with 6 years creating documentation for software products and APIs. Expert in information architecture, user experience writing, and content management. Produced documentation that reduced customer support tickets by 40%. Strong background in technical communication, editing, and collaboration with engineering teams. Experience with documentation tools including GitBook, Confluence, and Markdown. Seeking senior technical writing or content strategy roles.",0.0
159,22,Lauren,Green,3,"Business, Finance & Management",Bachelor's Degree,3,0,5,1,0,0,0,0,0,0,0,0,Supply Chain Manager,9.062286105407255,3.0207620351357516,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"Supply chain analyst with 7+ years optimizing procurement and logistics operations. Expert in demand forecasting, inventory management, and vendor negotiations. Led initiatives that reduced supply chain costs by 25% while improving service levels. Strong analytical skills with proficiency in Excel, SAP, and supply chain planning tools. Experience across manufacturing, retail, and distribution industries. Seeking senior supply chain or operations roles.",0.0
165,23,Jason,Adams,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,0,0,0,0,6,0,0,Principal Cloud Architect,10.981519507186858,3.6605065023956196,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,"Cloud architect with 9+ years designing and implementing scalable cloud solutions. Expert in AWS, Azure, and Google Cloud platforms with multiple certifications. Led cloud migration projects worth $20M+ and reduced infrastructure costs by 50%. Strong background in microservices, containerization, and serverless architectures. Experience with infrastructure as code and DevOps practices. Passionate about emerging cloud technologies and their business applications.",0.0
181,24,Crystal,Baker,3,Culinary & Hospitality,Bachelor's Degree,3,0,0,6,0,0,0,0,0,0,0,0,Event Operations Manager,8.073921971252567,2.6913073237508556,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,"Event coordinator with 6 years planning and executing corporate events and conferences. Successfully managed events for 5,000+ attendees with budgets exceeding $2M. Expert in vendor management, logistics coordination, and stakeholder communication. Strong project management skills with attention to detail and ability to work under pressure. Experience with virtual and hybrid events including technology setup and platform management. Seeking senior event management roles.",0.0
187,25,Tyler,Gonzalez,3,Marketing & Sales,Bachelor's Degree,3,1,0,0,0,0,0,0,4,0,0,0,Social Media Manager,6.108145106091718,3.054072553045859,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,"Social media manager with 5+ years building brand presence across digital platforms. Managed social media accounts with 1M+ followers and increased engagement rates by 300%. Expert in content creation, community management, and social media advertising. Strong analytical skills with experience in social media analytics and ROI measurement. Created viral campaigns that generated millions of impressions and drove significant traffic and sales.",0.0
193,26,Samantha,Nelson,6,"STEM (Science, Technology, Engineering & Mathematics)",PhD,6,0,0,0,0,0,0,0,0,9,0,0,Principal Research Scientist,14.023271731690622,4.674423910563541,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,"Research scientist with PhD in Materials Science and 8 years in R&D. Published 25+ research papers in peer-reviewed journals and holds 5 patents. Expert in nanotechnology, materials characterization, and product development. Led research teams that developed breakthrough materials for aerospace and electronics applications. Strong grant writing skills with experience securing $5M+ in research funding. Seeking senior R&D or technical leadership roles.",3.0
202,27,Jordan,Carter,5,Education & Training,Master's Degree,5,0,0,0,8,0,0,0,0,0,0,0,Education Director,12.906228610540726,4.302076203513575,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,"Training specialist with 7 years developing and delivering educational programs. Designed training curricula for technical and soft skills that improved employee performance by 40%. Expert in instructional design, e-learning platforms, and adult learning principles. Strong presentation and facilitation skills with experience training diverse audiences. Created onboarding programs that reduced time-to-productivity for new hires. Seeking learning and development leadership roles.",0.0
211,28,Victoria,Mitchell,4,Law & Political Science,JD,4,0,0,0,0,0,0,7,0,0,0,0,Senior Attorney,9.065023956194388,3.021674652064796,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,"Legal counsel with 8+ years specializing in technology and intellectual property law. JD from top law school with focus on corporate law and contract negotiations. Advised startups and Fortune 500 companies on licensing agreements, M&A transactions, and regulatory compliance. Expert in privacy law, data protection, and employment matters. Led legal teams and managed outside counsel relationships. Seeking general counsel or senior legal roles.",0.0
220,29,Gregory,Perez,3,"Business, Finance & Management",Bachelor's Degree,3,0,6,0,0,0,0,0,0,0,0,0,Logistics Manager,8.073921971252567,2.6913073237508556,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,"Logistics coordinator with 6 years optimizing transportation and distribution networks. Managed supply chains that moved $100M+ in goods annually across multiple countries. Expert in freight management, customs regulations, and inventory control. Strong analytical skills with experience in logistics software and data analysis. Led cost reduction initiatives that saved 20% on shipping expenses while improving delivery times. Seeking senior logistics or supply chain management roles.",0.0
226,30,Melissa,Roberts,3,"Arts, Design & Media",Bachelor's Degree,3,6,0,0,0,0,0,0,0,0,0,0,Design Manager,11.066392881587953,3.6887976271959846,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,"Interior designer with 9 years creating functional and aesthetic commercial and residential spaces. Portfolio includes award-winning projects worth $50M+ across various property types. Expert in space planning, material selection, and project management. Strong client relationship skills with ability to translate vision into reality. Experience with sustainable design principles and LEED certification. Proficient in CAD software and 3D visualization tools. Seeking senior design roles.",0.0
232,31,Stephen,Turner,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,2,1,0,0,0,0,0,0,4,0,0,Senior Design Engineer,12.035592060232718,4.011864020077573,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"Mechanical engineer with 10+ years designing and developing consumer products. Expert in CAD design, prototyping, and manufacturing processes. Led product development teams that launched successful products generating $25M+ in revenue. Strong background in materials science, quality control, and regulatory compliance. Experience with sustainable design and lifecycle analysis. Holds multiple patents and has won industry awards for innovative designs.",0.0
238,32,Angela,Phillips,3,Humanities & Social Sciences,Bachelor's Degree,3,1,0,1,0,0,3,0,1,0,0,0,Director of Communications,9.065023956194388,3.021674652064796,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,"Public relations specialist with 7 years building brand reputation and managing communications. Led PR campaigns that generated 500M+ media impressions and improved brand sentiment by 60%. Expert in media relations, crisis communication, and content strategy. Strong writing and presentation skills with experience across traditional and digital media. Managed PR for product launches, executive communications, and company milestones. Seeking senior PR or communications roles.",0.0
244,33,Eric,Campbell,3,"Arts, Design & Media",Bachelor's Degree,3,6,0,0,0,0,0,0,0,0,0,0,Creative Director,10.064339493497604,3.354779831165868,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,"Video editor and motion graphics designer with 8 years creating compelling visual content. Produced videos that garnered millions of views across social media platforms and streaming services. Expert in Adobe Creative Suite, After Effects, and various video editing software. Strong storytelling skills with experience in documentary, commercial, and educational content. Collaborated with directors, producers, and marketing teams to deliver high-quality video content.",0.0
250,34,Sharon,Parker,3,"Business, Finance & Management",Bachelor's Degree,3,0,6,0,0,0,0,0,0,0,0,0,Accounting Manager,11.066392881587953,3.6887976271959846,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,"Accountant with CPA certification and 9 years in public and private accounting. Expert in financial reporting, tax preparation, and audit management. Managed accounting operations for companies with $100M+ annual revenue. Strong analytical skills with experience in financial analysis and budgeting. Led implementation of accounting systems that improved efficiency and accuracy. Experience across multiple industries including manufacturing, retail, and professional services.",0.0
256,35,Nathan,Evans,6,Health & Medical Sciences,Doctorate,6,0,0,0,1,7,0,0,0,1,0,0,Clinic Director,8.479123887748118,2.8263746292493725,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"Physical therapist with 6 years helping patients recover from injuries and improve mobility. Licensed PT with specialty certifications in sports medicine and orthopedic rehabilitation. Treated over 1,000 patients across various conditions including post-surgical recovery, chronic pain, and athletic injuries. Strong communication skills with ability to develop personalized treatment plans. Experience with latest rehabilitation techniques and technologies. Seeking clinical leadership or program management roles.",0.0
265,36,Deborah,Edwards,3,"Business, Finance & Management",Bachelor's Degree,3,0,6,0,0,0,0,0,0,0,0,0,Underwriting Manager,10.064339493497604,3.354779831165868,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,Insurance underwriter with 8+ years assessing risk and pricing insurance policies. Expert in commercial and personal lines insurance with focus on property and casualty coverage. Underwrote policies worth $500M+ in premiums while maintaining profitable loss ratios. Strong analytical skills with experience in risk assessment models and actuarial analysis. Led training programs for junior underwriters and contributed to product development initiatives.,0.0
271,37,Carlos,Collins,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,1,0,0,0,0,0,0,5,0,0,Environmental Engineering Manager,9.065023956194388,3.021674652064796,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,"Environmental engineer with 7 years developing sustainable solutions for industrial and municipal clients. Expert in environmental impact assessment, remediation technologies, and regulatory compliance. Led projects that reduced environmental footprint and achieved cost savings of $10M+. Strong background in water treatment, air quality management, and waste reduction. Professional Engineer license with experience in environmental consulting and project management.",0.0
277,38,Patricia,Stewart,5,Health & Medical Sciences,Master's Degree,5,0,0,0,0,8,0,0,0,0,0,0,Senior Nurse Practitioner,15.529089664613277,5.176363221537759,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"Nurse practitioner with 10+ years providing comprehensive healthcare services. MSN degree with certifications in family practice and acute care. Managed patient caseloads in clinical, hospital, and community health settings. Strong diagnostic and treatment skills with focus on preventive care and patient education. Led quality improvement initiatives that enhanced patient outcomes and satisfaction. Experience with electronic health records and telemedicine platforms.",0.0
286,39,Benjamin,Sanchez,5,"STEM (Science, Technology, Engineering & Mathematics)",Master's Degree,5,0,1,0,0,0,0,0,0,7,0,0,Enterprise Architect,18.064339493497606,6.021446497832535,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,"Software architect with 12+ years designing large-scale distributed systems. Expert in microservices architecture, cloud platforms, and enterprise integration patterns. Led architecture decisions for systems processing millions of transactions daily. Strong background in system design, performance optimization, and technology strategy. Mentored development teams and established architectural standards across organizations. Experience with both startup and enterprise environments.",0.0
295,40,Cynthia,Morris,5,"Business, Finance & Management",MBA,5,0,8,0,0,0,0,0,0,0,0,0,Finance Director,13.062286105407257,4.3540953684690855,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Investment banker with 9 years in corporate finance and capital markets. MBA from top business school with focus on mergers and acquisitions. Executed deals worth $2B+ across various industries including technology, healthcare, and energy. Strong analytical and modeling skills with expertise in valuation, due diligence, and transaction structuring. Built relationships with private equity firms, strategic buyers, and institutional investors.",0.0
301,41,Harold,Rogers,3,Skilled Trades & Technical Certifications,Bachelor's Degree,3,0,1,0,0,0,0,0,0,0,5,0,General Contractor,16.98015058179329,5.660050193931096,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,"Construction manager with 15+ years overseeing large-scale commercial and residential projects. Licensed contractor with expertise in project planning, cost estimation, and quality control. Managed construction projects worth $200M+ while maintaining budget and schedule commitments. Strong leadership skills with experience managing teams of 50+ tradespeople and subcontractors. Expert in building codes, safety regulations, and sustainable construction practices.",0.0
307,42,Katherine,Reed,3,Marketing & Sales,Bachelor's Degree,3,0,1,0,0,0,0,0,3,3,0,0,Research Manager,8.06570841889117,2.688569472963723,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,"Market research analyst with 6 years providing insights for strategic business decisions. Expert in quantitative and qualitative research methodologies including surveys, focus groups, and statistical analysis. Conducted market studies that informed product launches and marketing strategies for Fortune 500 companies. Strong presentation skills with ability to translate complex data into actionable recommendations. Proficient in SPSS, R, and various survey platforms.",0.0
313,43,Dennis,Cook,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,2,0,0,0,0,0,0,5,0,0,Operations Manager,10.067077344284737,3.355692448094912,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,"Industrial engineer with 8 years optimizing manufacturing processes and facility operations. Expert in lean manufacturing, six sigma methodologies, and process improvement. Led initiatives that increased productivity by 35% and reduced waste by 50% in manufacturing environments. Strong analytical skills with experience in data analysis, simulation modeling, and cost-benefit analysis. Professional Engineer license with background in automotive and aerospace industries.",0.0
322,44,Helen,Bailey,4,Health & Medical Sciences,PharmD,4,0,0,0,0,6,0,0,1,3,0,0,Pharmacy Manager,11.074606433949349,3.691535477983116,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,"Pharmacist with 11 years in clinical and retail pharmacy settings. PharmD degree with specialization in geriatric pharmacy and medication therapy management. Provided pharmaceutical care to diverse patient populations while ensuring medication safety and efficacy. Strong consultation skills with experience in drug interactions, dosing optimization, and patient education. Led clinical pharmacy programs that improved patient outcomes and reduced healthcare costs.",0.0
331,45,Lawrence,Rivera,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,0,0,0,0,6,0,0,Senior Telecommunications Engineer,11.066392881587953,3.6887976271959846,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,"Telecommunications engineer with 9 years designing and implementing network infrastructure. Expert in fiber optic systems, wireless technologies, and network protocols. Led deployment of broadband networks serving 100,000+ customers across rural and urban areas. Strong technical skills with experience in network planning, optimization, and troubleshooting. Professional Engineer license with certifications in multiple telecommunications technologies and standards.",0.0
340,46,Teresa,Cooper,3,"STEM (Science, Technology, Engineering & Mathematics)",Bachelor's Degree,3,0,0,0,0,2,0,0,0,5,0,0,Director of Clinical Research,9.065023956194388,3.021674652064796,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"Clinical research coordinator with 7 years managing clinical trials for pharmaceutical and biotech companies. Expert in Good Clinical Practice guidelines, regulatory compliance, and patient recruitment. Coordinated over 20 clinical studies across multiple therapeutic areas including oncology, cardiology, and infectious diseases. Strong organizational skills with attention to detail and ability to work with diverse stakeholders including investigators, sponsors, and regulatory agencies.",0.0
346,47,Gerald,Peterson,3,"Business, Finance & Management",Bachelor's Degree,3,0,4,0,0,0,0,0,2,0,0,0,Real Estate Investment Manager,13.149897330595483,4.383299110198494,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,"Real estate broker with 12+ years in commercial and residential property sales. Licensed broker with expertise in market analysis, property valuation, and negotiation. Generated $100M+ in sales volume while maintaining top producer status at multiple firms. Strong client relationship skills with extensive network of investors, developers, and property owners. Expert in commercial leasing, investment properties, and development projects across various property types.",0.0
355,48,Sandra,Richardson,5,Education & Training,Master's Degree,5,0,0,1,6,0,1,0,0,0,0,0,Assistant Principal,13.52498288843258,4.5083276294775265,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,"Elementary school teacher with 10 years educating students in grades K-5. Masters degree in Education with specialization in curriculum development and classroom management. Created innovative lesson plans that improved student engagement and academic performance. Strong communication skills with experience in parent-teacher conferences, professional development, and educational technology. Led school committees and mentored new teachers in best practices.",0.0
361,49,Kenneth,Cox,2,Culinary & Hospitality,Associate Degree,2,0,0,5,0,0,0,0,0,0,0,0,Executive Chef,12.06570841889117,4.0219028062970565,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"Chef and restaurant manager with 8 years in culinary arts and hospitality management. Culinary arts degree with expertise in menu development, food cost control, and kitchen operations. Managed restaurants with annual revenue of $5M+ while maintaining high customer satisfaction and profit margins. Strong leadership skills with experience training kitchen staff and implementing food safety protocols. Specialized in farm-to-table cuisine and sustainable food practices.",0.0
